,OFFENSE_DESCRIPTION,OCCURRED_ON_DATE,YEAR,MONTH,Lat,Long,newLat,newLon
106,LARCENY SHOPLIFTING,2018-10-03 14:47:00,2018,10,42.35680075,-71.05893025,30.668778463127243,34.49230014175244
107,LARCENY ALL OTHERS,2018-10-03 14:54:00,2018,10,42.32221645,-71.08206723,31.089714048407334,34.68386022726045
108,OTHER OFFENSE,2018-10-03 14:22:00,2018,10,42.32790482,-71.05305583,31.54350517223854,34.51940626336872
109,BALLISTICS EVIDENCE/FOUND,2018-10-01 09:00:00,2018,10,42.38053652,-71.03885017,31.700449586388185,34.50784177435894
110,FRAUD - WIRE,2018-09-23 12:00:00,2018,9,42.32945117,-71.05665934,30.992931885983033,34.7880899215022
111,THREATS TO DO BODILY HARM,2018-10-03 14:04:00,2018,10,42.35505244,-71.07390742,31.87019046875106,34.94509574442561
112,FRAUD - FALSE PRETENSE / SCHEME,2018-10-03 14:04:00,2018,10,42.35505244,-71.07390742,30.863771934396706,34.57326508229135
113,"DRUGS - POSS CLASS B - COCAINE, ETC.",2018-10-03 14:55:00,2018,10,42.33130578,-71.07194742,31.25261328141727,34.830395980021095
114,PROPERTY - FOUND,2018-10-03 14:30:00,2018,10,42.28709355,-71.14822128,31.977155121046746,34.66887253161073
115,BALLISTICS EVIDENCE/FOUND,2018-10-03 08:00:00,2018,10,42.37081805,-71.03929078,31.764972236496273,34.60180584661521
116,VIOL. OF RESTRAINING ORDER W NO ARREST,2018-10-03 12:40:00,2018,10,42.33409863,-71.0265257,31.937053471246863,34.80433206956893
117,M/V ACCIDENT - PROPERTY  DAMAGE,2018-10-03 14:12:00,2018,10,42.25602841,-71.12190725,31.01465402664416,34.398682980497796
118,LARCENY PURSE SNATCH - NO FORCE ,2018-10-02 15:30:00,2018,10,42.29455164,-71.06718937,31.759684494141226,34.59383438121843
119,ASSAULT - SIMPLE,2018-10-03 13:50:00,2018,10,42.25621592,-71.12401947,31.63905117246597,34.94723355454221
120,VANDALISM,2018-10-03 13:50:00,2018,10,42.25621592,-71.12401947,31.823646660807686,34.80923346608751
121,PROPERTY - FOUND,2018-10-03 12:30:00,2018,10,42.3092471,-71.13444833,31.05535129538344,34.765468734610245
122,VANDALISM,2018-10-02 19:00:00,2018,10,42.37688903,-71.06684611,30.633480888471155,34.3640095348301
123,WARRANT ARREST,2018-10-03 13:25:00,2018,10,42.28873871,-71.07112627,30.883102344570357,34.511994115697505
124,WARRANT ARREST,2018-10-03 14:00:00,2018,10,42.32483301,-71.10164757,30.855487863976727,34.52057790134752
125,VAL - OPERATING UNREG/UNINS  CAR,2018-10-03 13:46:00,2018,10,42.2806123,-71.08350146,30.648911233374882,34.90952966792687
126,VAL - OPERATING AFTER REV/SUSP.,2018-10-03 13:46:00,2018,10,42.2806123,-71.08350146,31.62793516108941,34.926295434197485
127,HARASSMENT,2018-10-03 13:00:00,2018,10,42.34614027,-71.14003692,31.15427456112293,34.40275177704999
128,TOWED MOTOR VEHICLE,2018-10-03 10:49:00,2018,10,42.31609763,-71.09524853,30.674317246341147,34.65300791299731
129,"DRUGS - POSS CLASS A - HEROIN, ETC. ",2018-10-03 12:27:00,2018,10,42.35241815,-71.06525499,31.98680282296417,34.47621691683787
130,"FIRE REPORT - HOUSE, BUILDING, ETC.",2018-10-03 14:09:00,2018,10,42.30022551,-71.07468313,30.71785570194889,34.53790342214374
131,"FIRE REPORT - CAR, BRUSH, ETC.",2018-10-03 14:09:00,2018,10,42.30022551,-71.07468313,30.64896582788766,34.97601137014552
132,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-10-03 14:07:00,2018,10,42.345691,-71.063365,31.54861779767873,34.557396606666735
133,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-10-03 11:30:00,2018,10,42.31168453,-71.05750327,31.564300638248156,34.95765173561493
134,FRAUD - IMPERSONATION,2018-09-22 00:00:00,2018,9,42.36139413,-71.0576869,30.948804046211038,34.44020230224938
135,FRAUD - FALSE PRETENSE / SCHEME,2018-09-28 07:00:00,2018,9,-1.0,-1.0,31.65204349698733,34.29384081660295
136,PROPERTY - LOST,2018-10-01 12:45:00,2018,10,42.35637531,-71.06213513,30.920071988253135,34.93119236819842
137,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,2018-10-03 13:45:00,2018,10,42.3260975,-71.06755796,31.874823135133287,34.67660830300425
138,VANDALISM,2018-10-03 13:45:00,2018,10,42.33201285,-71.09598982,31.201022336487835,34.606624342070056
139,"DRUGS - POSS CLASS A - HEROIN, ETC. ",2018-10-03 13:22:00,2018,10,42.28813676,-71.09475747,30.82424778821804,34.44254813063825
140,INVESTIGATE PERSON,2018-10-03 13:44:00,2018,10,42.31521134,-71.08783592,31.457690663007057,34.57451100232496
141,VANDALISM,2018-10-03 13:42:00,2018,10,42.30443502,-71.06862907,31.06821445890703,34.500728483865586
142,LARCENY SHOPLIFTING,2018-10-03 13:38:00,2018,10,42.27470119,-71.09344053,31.353144072336473,34.323009730483626
143,INVESTIGATE PROPERTY,2018-10-03 12:19:00,2018,10,42.36417286,-71.05779921,30.911471953754457,34.551347130456875
144,LARCENY SHOPLIFTING,2018-10-03 12:46:00,2018,10,42.35325379,-71.0487241,31.293434164501214,34.79356167193314
145,HOME INVASION,2018-10-03 13:06:00,2018,10,42.28104731,-71.11698982,31.046916731117253,34.30740473960773
146,TOWED MOTOR VEHICLE,2018-10-03 11:13:00,2018,10,42.3198604,-71.0643412,31.78949432215217,34.57568568576162
147,PROPERTY - LOST,2018-04-30 13:26:00,2018,4,42.36600842,-71.06403504,31.276531898957487,34.98668938381261
148,VANDALISM,2018-10-03 12:28:00,2018,10,42.30030819,-71.07206425,30.707117195411,34.633613582980786
149,VANDALISM,2018-10-03 07:40:00,2018,10,42.293836,-71.05157448,30.89502576865899,34.63179724339271
150,ASSAULT - AGGRAVATED - BATTERY,2018-10-03 12:53:00,2018,10,,,30.808471796479964,34.92480021550607
151,WARRANT ARREST,2018-10-03 12:53:00,2018,10,,,30.80860245714898,34.72103021108636
152,VANDALISM,2018-10-02 21:00:00,2018,10,42.29979065,-71.05954439,31.576649292166646,34.43207886326001
153,VANDALISM,2018-10-03 05:30:00,2018,10,42.30443502,-71.06862907,31.14705084297628,34.95239315039848
154,INVESTIGATE PERSON,2018-10-03 12:57:00,2018,10,42.31466062,-71.07623072,31.029181859437305,34.839180702779935
155,VANDALISM,2018-10-03 05:30:00,2018,10,42.30443502,-71.06862907,31.455089024746453,34.66294244591436
156,INVESTIGATE PERSON,2018-10-03 12:44:00,2018,10,42.38229042,-71.0393012,31.332808545941806,34.75326054259267
157,PROPERTY - LOST,2018-10-03 12:43:00,2018,10,42.34496729,-71.06382224,31.779194635558465,34.99231722052989
158,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,2018-10-03 09:55:00,2018,10,42.25489283,-71.12428154,31.88173178409018,34.65850081470212
159,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-10-02 16:30:00,2018,10,42.34473274,-71.06466549,30.923837424859833,34.61322940143924
160,M/V - LEAVING SCENE - PERSONAL INJURY,2018-10-02 17:13:00,2018,10,42.28187213,-71.06538326,30.634491270141417,34.32712884901547
161,LARCENY ALL OTHERS,2018-10-03 11:30:00,2018,10,42.36152577,-71.06133846,30.974792642846413,34.764481234397856
162,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-10-02 18:15:00,2018,10,42.32639844,-71.11152626,31.633369816754733,34.69569358017096
163,INVESTIGATE PERSON,2018-10-03 11:27:00,2018,10,42.34937839,-71.13249037,30.687321654017968,34.35610213121635
164,VANDALISM,2018-10-02 19:30:00,2018,10,42.37284774,-71.03535588,31.85252083711449,34.97562391847771
165,HARASSMENT,2018-10-03 12:28:00,2018,10,42.33954199,-71.06940877,31.38205126706815,34.85306354982753
166,M/V ACCIDENT - OTHER,2018-10-03 11:58:00,2018,10,42.34888559,-71.14007361,31.222177006798873,34.848604504708064
167,VERBAL DISPUTE,2018-10-03 11:42:00,2018,10,42.3197573,-71.05428941,31.28723403057191,34.31866750819129
168,VANDALISM,2018-10-03 05:30:00,2018,10,42.30443502,-71.06862907,31.779903130195265,34.35774311231833
169,M/V - LEAVING SCENE - PROPERTY DAMAGE,2018-10-01 22:45:00,2018,10,42.28627779,-71.04486215,30.64568999071217,34.63036301591948
170,INVESTIGATE PERSON,2018-10-03 11:16:00,2018,10,42.3206268,-71.09108856,31.506657764925105,34.89974880023961
171,THREATS TO DO BODILY HARM,2018-10-03 12:12:00,2018,10,42.32866284,-71.08563401,31.56541919441051,34.787436073295
172,AFFRAY,2018-10-01 08:40:00,2018,10,42.28716674,-71.07633479,31.67447144331279,34.91027400972116
173,M/V ACCIDENT - POLICE VEHICLE,2018-10-03 11:50:00,2018,10,42.35174282,-71.0627594,30.93146844646949,34.90059221959743
174,TRESPASSING,2018-10-03 11:34:00,2018,10,42.3523119,-71.0637051,31.830686742978532,34.834940911409426
175,VANDALISM,2018-10-03 05:30:00,2018,10,42.30443502,-71.06862907,31.769486569213356,34.37749966072517
176,TOWED MOTOR VEHICLE,2018-10-03 09:41:00,2018,10,42.32757423,-71.10738823,30.646305350997025,34.96692259793084
177,LANDLORD - TENANT SERVICE,2018-10-03 11:44:00,2018,10,42.29794983,-71.08774413,31.644143516695866,34.93543170322037
178,VERBAL DISPUTE,2018-10-03 10:50:00,2018,10,42.29397405,-71.07470901,31.16583989558216,34.531524073737096
179,DISORDERLY CONDUCT,2018-10-03 10:52:00,2018,10,42.32445145,-71.0581068,31.543465977322196,34.41921472269949
180,INVESTIGATION FOR ANOTHER AGENCY,2018-10-03 11:39:00,2018,10,42.33402461,-71.09039049,31.28008865458644,34.72679276613848
181,DRUGS - POSS CLASS E,2018-10-03 10:50:00,2018,10,42.33794261,-71.05184093,31.67962667436825,34.32969122288625
182,INVESTIGATE PERSON,2018-10-03 10:30:00,2018,10,42.34060608,-71.05362687,31.667458037874578,34.70351180605223
183,DRUGS - POSS CLASS C,2018-10-03 11:21:00,2018,10,42.33428841,-71.07239518,31.812811955247504,34.52664451402934
184,THREATS TO DO BODILY HARM,2018-10-03 10:45:00,2018,10,42.34857652,-71.07772012,31.84197311995043,34.43582841838782
185,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-10-02 20:00:00,2018,10,42.31775075,-71.06497408,31.181497782562907,34.52586508762938
186,VANDALISM,2018-10-02 20:00:00,2018,10,42.31775075,-71.06497408,31.943208967914998,34.45648731494103
187,LARCENY THEFT OF MV PARTS & ACCESSORIES,2018-10-02 20:00:00,2018,10,42.31775075,-71.06497408,31.50801918799822,34.38122663930809
188,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",2018-10-03 10:41:00,2018,10,42.32483301,-71.10164757,31.073467870830132,34.93298010930569
189,DRUGS - POSS CLASS A - INTENT TO MFR DIST DISP,2018-10-03 10:41:00,2018,10,42.32483301,-71.10164757,30.829345654031926,34.40762740244607
190,"DRUGS - POSS CLASS A - HEROIN, ETC. ",2018-10-03 10:41:00,2018,10,42.32483301,-71.10164757,31.20596154609552,34.5023484462164
191,THREATS TO DO BODILY HARM,2018-10-03 11:08:00,2018,10,42.31024899,-71.0918393,30.647060189524623,34.43381716422953
192,WARRANT ARREST,2018-10-03 10:23:00,2018,10,42.24798117,-71.11830421,31.269155121852904,34.99748260418546
193,VANDALISM,2018-10-03 09:10:00,2018,10,42.30406722,-71.06760042,31.329503891263677,34.93684829821705
194,VERBAL DISPUTE,2018-10-03 10:43:00,2018,10,42.30500848,-71.06606441,31.00590937334293,34.71330919486764
195,INVESTIGATE PERSON,2018-10-02 00:00:00,2018,10,42.30751728,-71.08397469,31.906169729871355,34.642468347785915
196,LARCENY THEFT FROM BUILDING,2018-10-03 10:39:00,2018,10,42.32553801,-71.06579592,30.883254037068145,34.60183931784561
197,SICK/INJURED/MEDICAL - PERSON,2018-10-03 10:15:00,2018,10,42.31847226,-71.08409289,31.124443650517712,34.84743832011856
198,TOWED MOTOR VEHICLE,2018-10-03 09:32:00,2018,10,42.34587157,-71.08938851,31.493445719800388,34.76999081621842
199,VANDALISM,2018-10-02 20:00:00,2018,10,42.30443502,-71.06862907,31.6589046543063,34.9737113908871
200,FRAUD - FALSE PRETENSE / SCHEME,2018-08-06 10:19:00,2018,8,42.34901954,-71.08130134,30.835760434508007,34.347541579443465
201,WARRANT ARREST,2018-10-03 09:47:00,2018,10,42.30209443,-71.06575183,31.13202902230151,34.97535069745978
202,THREATS TO DO BODILY HARM,2018-10-03 10:12:00,2018,10,42.34588967,-71.16023257,31.93935021377539,34.889421473961505
203,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,2018-10-03 09:30:00,2018,10,42.29095776,-71.07168549,31.649523403434515,34.56281136443321
204,"FIRE REPORT - CAR, BRUSH, ETC.",2018-10-03 09:56:00,2018,10,42.37757302,-71.02985538,31.112111938632275,34.99237105880654
205,M/V ACCIDENT - PROPERTY  DAMAGE,2018-10-03 09:10:00,2018,10,42.32971766,-71.03724976,30.907859355318084,34.728183262055204
206,ASSAULT - AGGRAVATED,2018-10-03 09:15:00,2018,10,42.34453911,-71.0735877,31.729337568674627,34.43606659165632
207,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",2018-10-03 09:15:00,2018,10,42.34453911,-71.0735877,31.81387659224334,34.56165139595414
208,LARCENY THEFT FROM MV - NON-ACCESSORY,2018-10-02 13:00:00,2018,10,42.32582901,-71.08055111,31.496315302759122,34.62041079443548
209,INVESTIGATE PERSON,2018-10-03 09:21:41,2018,10,42.31841537,-71.08617907,31.352790738648334,34.49593765538582
210,ASSAULT - SIMPLE,2018-10-03 09:00:00,2018,10,42.31354588,-71.09179044,31.769601273472258,34.78496454223333
211,TRUANCY / RUNAWAY,2018-10-03 09:00:00,2018,10,42.31354588,-71.09179044,31.690456002995276,34.765174994958876
