LocNameHeb,LocalityCode,EstbYr,DistrictCode,DistrictHeb,SubDistrictCode,SubDistrictHeb,NatRegCode,NatRegHeb,MetrCode,MetrHeb,TypeLocCode,TypeLocHeb,MuniCode,MuniHeb,pop_hun,religion,ReligionHeb,religion_pcnt,age0_17_pcnt,age18_64_pcnt,age65_pcnt,m_age0_17_pcnt,m_age18_64_pcnt,m_age65_pcnt,w_age0_17_pcnt,w_age18_64_pcnt,w_age65_pcnt,DependencyRatio,age_median,m_age_median,w_age_median,married_pcnt,notmarried_pcnt,m_married_pcnt,m_notmarried_pcnt,w_married_pcnt,w_notmarried_pcnt,j_isr_pcnt,j_abr_pcnt,aliya1960_pcnt,aliya61_89_pcnt,aliya90_01_pcnt,aliya2002_pcnt,israel_pcnt,asia_pcnt,africa_pcnt,europe_pcnt,america_pcnt,population
אודם,4010,1976,2,מחוז הצפון,29,נפת גולן,292,גולן צפוני,,ללא שיוך למטרופולין,320,מושב שיתופי,71,מועצה אזורית גולן,0.9,1,יהודים,100,22,78,,20.3,79.7,,23.5,76.5,,383.9,28,34,27,50.8,49.2,54,46,47.8,52.2,86.6,13.4,25.7,65.7,8.6,,37.9,20.2,18.1,23.8,,500
אוהד,1046,1969,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,38,מועצה אזורית אשכול,3.2,1,יהודים,99.3,35.2,58.2,6.6,36.2,54.5,9.2,34.1,62.1,3.8,738.2,30,31,30,76.5,23.5,76.3,23.7,76.8,23.2,81.9,18.1,71.6,19.4,9.1,,41.9,15.7,26.5,12.6,3.3,500
אומן,1108,1958,2,מחוז הצפון,23,נפת יזרעאל,234,עמק יזרעאל,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,8,מועצה אזורית הגלבוע,2.6,1,יהודים,86.2,29.7,66,4.3,31.1,64.7,4.2,28.2,67.6,4.3,584.9,30,28,32,60.5,39.5,57.9,42.1,63.3,36.7,59.4,40.6,4.9,4.3,90.8,,27.2,1.5,20.8,48.1,2.4,500
אור הגנוז,1294,1989,2,מחוז הצפון,21,נפת צפת,212,גליל עליון מזרחי,,ללא שיוך למטרופולין,320,מושב שיתופי,2,מועצה אזורית מרום הגליל,4.4,1,יהודים,100,65.3,34.7,,64.9,35.1,,65.7,34.3,,2017.3,9,9,9,83.6,16.4,79.1,20.9,88.7,11.3,96,4,6,53.3,40.7,,63.5,7.7,12.1,5.2,11.5,500
אור הנר,67,1957,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,37,מועצה אזורית שער הנגב,4.1,1,יהודים,94.4,26.5,61.9,11.6,26.8,63.5,9.7,26.1,60.3,13.6,727.6,32,31,33,54,46,52.9,47.1,55.2,44.8,62.1,37.9,23.1,54,19.1,3.8,23.6,4.6,10.6,10.7,50.5,500
אורות,2012,1952,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,310,מושב,33,מועצה אזורית באר טוביה,4.2,1,יהודים,99,37.6,50.1,12.2,38.3,50.6,11.2,37,49.6,13.4,1175,33,28,36,58,42,55.4,44.6,60.8,39.2,83.4,16.6,52.6,23.7,19.5,4.2,46.5,3.9,14.2,23.8,11.5,500
אורטל,4013,1978,2,מחוז הצפון,29,נפת גולן,292,גולן צפוני,,ללא שיוך למטרופולין,330,קיבוץ,71,מועצה אזורית גולן,2.8,1,יהודים,100,38.8,60.8,0.4,42.1,57.2,0.7,35.2,64.8,,792.5,24,21,24,55.6,44.4,56.2,43.8,55,45,87.8,12.2,6.1,63.5,30.5,,53.4,8.5,7,17.8,13.2,500
אורים,403,1946,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,38,מועצה אזורית אשכול,4.6,1,יהודים,95.1,16.6,69.5,13.9,17.5,68,14.5,15.6,71.1,13.3,497,30,29,30,40.7,59.3,39.8,60.2,41.7,58.3,78.5,21.5,39.9,42.5,16.6,1.1,38.4,4.1,10.2,24.9,22.5,500
אושה,278,1937,3,מחוז חיפה,31,נפת חיפה,311,אזור חיפה,222,"מטרופולין חיפה, טבעת פנימית, גזרה מזרחית",330,קיבוץ,12,מועצה אזורית זבולון,4.4,1,יהודים,96.9,20.3,61.6,18.1,24.2,60.6,15.2,17.3,62.3,20.4,673.1,31,30,32,37.6,62.4,43.3,56.7,33.4,66.6,78.5,21.5,61.7,22.4,9.9,6,43.7,8.9,5,35.1,7.3,500
אחווה,1157,1976,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,350,יישוב כפרי אחר יהודי,33,מועצה אזורית באר טוביה,1.7,1,יהודים,99.6,19.2,39.5,41.3,25.9,39.5,34.6,12.9,39.5,47.7,1741.7,58,52,62,52,48,55.2,44.8,49.4,50.6,53.7,46.3,63.3,23.9,12.1,0.8,27.9,10.9,13.3,43.7,4.2,500
אייל,716,1949,4,מחוז המרכז,42,נפת פתח תקווה,421,דרום השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",330,קיבוץ,20,מועצה אזורית דרום השרון,4,1,יהודים,97.5,31.8,67.3,0.9,32.7,66.8,0.4,30.6,67.9,1.5,542.1,28,26,29,51.1,48.9,48.7,51.3,53.8,46.2,92.4,7.6,35,51.8,9.5,3.7,56.8,7.3,7.9,25.3,2.7,500
אילות,1126,1962,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,330,קיבוץ,53,מועצה אזורית חבל אילות,3.5,1,יהודים,85.9,24.2,73.2,2.7,21.6,75.9,2.4,26.6,70.6,2.9,488.5,28,30,25,38.9,61.1,39,61,38.7,61.3,85.6,14.4,38.3,31,18.7,12,46.3,7.8,10.8,31.8,3.4,500
אילנייה,49,1902,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,310,מושב,3,מועצה אזורית הגליל התחתון,4.6,1,יהודים,95.5,33.5,57.9,8.5,33.9,58.2,7.9,33.1,57.7,9.2,789.2,30,29,31,55,45,53.7,46.3,56.4,43.6,84.3,15.7,55.5,36.8,6.5,1.2,51.1,7.1,18.5,19.8,3.5,500
איתן,37,1955,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,310,מושב,34,מועצה אזורית שפיר,3.9,1,יהודים,100,36.3,53.8,9.9,38.3,55.5,6.2,34.3,52.1,13.6,976.5,27,27,27,54.5,45.5,53.7,46.3,55.3,44.7,82.3,17.7,86.1,12.5,1.5,,39.4,1.5,58.6,0.3,0.3,500
אל -עזי,1339,,6,מחוז הדרום,61,נפת אשקלון,611,אזור מלאכי,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,35,מועצה אזורית יואב,1.4,2,מוסלמים,99.2,44.1,50.5,5.4,36.5,59.9,3.6,49.8,43.3,6.8,1044.9,23,32,19,56.9,43.1,66.1,33.9,49.2,50.8,,,,,,,,,,,,500
אל -עריאן,1316,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,450,יישוב כפרי אחר לא יהודי,14,מועצה אזורית מנשה,1.8,2,מוסלמים,100,45.4,49.8,4.7,43.3,52.4,4.3,48.1,46.7,5.2,1187.9,20,20,20,59.5,40.5,58.7,41.3,60.4,39.6,,,,,,,,,,,,500
אל -רום,4003,1971,2,מחוז הצפון,29,נפת גולן,292,גולן צפוני,,ללא שיוך למטרופולין,330,קיבוץ,71,מועצה אזורית גולן,2.6,1,יהודים,96.2,27.5,71.8,0.7,28.6,71.4,,26.4,72.2,1.5,504.5,30,29,30,49.4,50.6,49.2,50.8,49.6,50.4,79.3,20.7,14.5,55,27.4,3.1,42.1,6.2,6.1,27.8,17.8,500
אלומות,330,1941,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,330,קיבוץ,6,מועצה אזורית עמק הירדן,2.2,1,יהודים,98,21,72.9,6.2,27.6,67.7,4.7,12.3,79.6,8.1,501.1,32,28,35,55.1,44.9,54,46,56.2,43.8,62.1,37.9,1.2,63.3,26.9,8.7,21.2,4.3,4.8,7.7,62,500
אלוני הבשן,4017,1981,2,מחוז הצפון,29,נפת גולן,292,גולן צפוני,,ללא שיוך למטרופולין,320,מושב שיתופי,71,מועצה אזורית גולן,2.8,1,יהודים,99.6,57.1,42.6,0.4,63.3,36.7,,48.1,51,0.9,1588.3,16,16,18,53.2,46.8,44.6,55.4,66.5,33.5,92.1,7.9,,40.4,34.9,24.7,63.2,4.9,5.7,16.5,9.8,500
אלונים,285,1938,2,מחוז הצפון,23,נפת יזרעאל,235,אזור יקנעם,242,"מטרופולין חיפה, טבעת חיצונית, גזרה מזרחית",330,קיבוץ,9,מועצה אזורית עמק יזרעאל,4.3,1,יהודים,98.8,13.4,69.5,17.1,13.2,73.1,13.7,13.6,66,20.4,489.7,39,32,44,42.1,57.9,42.5,57.5,41.8,58.2,77.9,22.1,60.5,25.5,12.7,1.2,42,9.9,6.1,37.9,4.1,500
אלי-עד,4002,1968,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,310,מושב,71,מועצה אזורית גולן,2.5,1,יהודים,97.4,22.8,76.8,0.4,20.7,79.3,,25.4,73.7,0.9,340.8,29,29,29,52.4,47.6,46.2,53.8,60.4,39.6,91.6,8.4,24.7,60.4,14.8,,56.1,9.5,9.9,21.9,2.6,500
אליפז,1248,1982,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,330,קיבוץ,53,מועצה אזורית חבל אילות,1,1,יהודים,83.9,47.2,52.8,,37.6,62.4,,55.8,44.2,,956.9,21,30,13,63.8,36.2,57,43,72.5,27.5,88.6,11.4,,28.6,61.8,9.5,59,9.5,9.2,13.9,8.4,500
אליפלט,730,1949,2,מחוז הצפון,21,נפת צפת,213,אזור חצור,,ללא שיוך למטרופולין,310,מושב,55,מועצה אזורית מבואות החרמון,4.9,1,יהודים,98.7,28.9,62.5,8.6,30.9,63.4,5.7,26.7,61.6,11.7,709.6,31,27,32,50,50,48.1,51.9,52,48,81.8,18.2,80,17.8,,2.2,36.1,4.6,57.2,1.7,0.4,500
אלמגור,1125,1961,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,310,מושב,6,מועצה אזורית עמק הירדן,2.8,1,יהודים,95.2,23.4,66.3,10.4,24,62.3,13.7,22.7,70.9,6.5,535.2,36,35,37,59.8,40.2,56.3,43.7,63.8,36.2,89,11,63.7,32.7,3.6,,53.5,5.1,6.6,30.4,4.4,500
אלמוג,3556,1977,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,330,קיבוץ,74,מועצה אזורית מגילות ים-המלח,1.5,1,יהודים,98,29.6,69.9,0.6,27.7,71.1,1.2,31.2,68.8,,451,24,25,24,42.6,57.4,44.8,55.2,40.5,59.5,81.7,18.3,,59,18.8,22.2,52,7.7,13,18.5,8.8,500
אלקוש,603,1949,2,מחוז הצפון,24,נפת עכו,244,אזור אילון,,ללא שיוך למטרופולין,310,מושב,52,מועצה אזורית מעלה יוסף,3.2,1,יהודים,100,27.3,63.1,9.5,27,65.8,7.3,27.7,60.1,12.2,705.3,30,29,33,47.7,52.3,44.5,55.5,51.3,48.7,84.2,15.8,85,9.3,5.6,,47.2,39.4,10.2,2.7,0.6,500
אמנון,1253,1983,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,310,מושב,55,מועצה אזורית מבואות החרמון,2.6,1,יהודים,97.6,25.6,72.4,1.9,20.9,77.5,1.6,30,67.8,2.2,490.7,31,33,30,52.5,47.5,53.2,46.8,51.8,48.2,84.8,15.2,23.2,22.3,49.3,5.2,44.2,6.8,28.1,18.1,2.7,500
אמציה,23,1955,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,320,מושב שיתופי,50,מועצה אזורית לכיש,4.5,1,יהודים,99.1,51.7,44.9,3.3,54.2,41.9,3.9,48.9,48.4,2.7,1326.3,16,15,18,68.9,31.1,65.9,34.1,72.1,27.9,89.5,10.5,40,54.1,5.9,,56.7,5.3,13,14.1,11,500
אניעם,4012,1978,2,מחוז הצפון,29,נפת גולן,293,גולן תיכוני,,ללא שיוך למטרופולין,310,מושב,71,מועצה אזורית גולן,4.5,1,יהודים,98,39.9,58.5,1.5,38.8,58.7,2.5,41.1,58.4,0.4,824.7,25,27,24,60.5,39.5,56.5,43.5,65.1,34.9,88.3,11.7,22.6,49.3,24.5,3.6,51.7,9.2,12.3,20.5,6.4,500
אספר,3754,1983,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,370,יישוב קהילתי,76,מועצה אזורית גוש עציון,2.9,1,יהודים,100,48.3,50.6,1.1,50.1,48.7,1.2,46.1,52.9,1,1053.8,19,17,21,74.2,25.8,70.4,29.6,78.3,21.7,84.9,15.1,,50.2,36.3,13.5,33.2,4.9,9.4,15.2,37.3,500
אפיק,4301,1967,2,מחוז הצפון,29,נפת גולן,294,גולן דרומי,,ללא שיוך למטרופולין,330,קיבוץ,71,מועצה אזורית גולן,2.2,1,יהודים,86.3,23.3,75.3,1.4,22.6,76.4,0.9,23.9,74.2,1.9,423.6,32,32,34,53.9,46.1,53.1,46.9,54.7,45.3,86,14,19.5,54.7,22.3,3.5,43.1,6.6,7.1,27.1,16.1,500
אפק,313,1939,2,מחוז הצפון,24,נפת עכו,246,אזור עכו,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",330,קיבוץ,4,מועצה אזורית מטה אשר,4.8,1,יהודים,96.8,18.6,69.2,12.2,17.5,71.9,10.6,19.6,66.8,13.6,477.4,36,36,35,51.8,48.2,55.3,44.7,48.6,51.4,86,14,71,21.2,6.5,1.4,47.2,8.2,7,34.4,3.2,500
ארבל,701,1949,2,מחוז הצפון,22,נפת כנרת,222,גליל תחתון מזרחי,,ללא שיוך למטרופולין,310,מושב,3,מועצה אזורית הגליל התחתון,4.7,1,יהודים,97.9,27.7,64.5,7.8,28.1,65.1,6.8,27.2,63.8,8.9,684.4,31,31,32,64,36,63.4,36.6,64.5,35.5,89.4,10.6,91.6,6.1,2.3,,60,16.5,8.1,14.9,0.5,500
ארגמן,3598,1968,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,310,מושב,75,מועצה אזורית ערבות הירדן,1.7,1,יהודים,97.5,18.5,80.4,1.1,19.7,79.1,1.2,17.4,81.5,1,735.6,24,26,22,41.6,58.4,43.7,56.3,39.7,60.3,85.4,14.6,15.4,44.7,39.9,,47.2,12.4,18.2,18.4,3.8,500
ארז,714,1949,6,מחוז הדרום,61,נפת אשקלון,614,אזור אשקלון,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",330,קיבוץ,37,מועצה אזורית שער הנגב,4.2,1,יהודים,98.4,23.5,68.1,8.4,18.7,73.3,7.9,28.6,62.6,8.8,488.4,28,28,28,42.6,57.4,38.8,61.2,47,53,87.9,12.1,47.4,33.2,19.4,,51.8,7.2,11,22.7,7.2,500
ארסוף,1324,1995,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",350,יישוב כפרי אחר יהודי,19,מועצה אזורית חוף השרון,1.3,1,יהודים,92.3,31.5,64.2,4.3,37.7,56.8,5.4,26.1,70.7,3.2,615.9,34,33,35,52.7,47.3,56.2,43.8,50,50,74.9,25.1,18.4,20,16.2,45.5,43.7,5.8,5.8,34.4,10.2,500
אשבול,71,1955,6,מחוז הדרום,62,נפת באר שבע,621,אזור גרר,334,"מטרופולין באר שבע, טבעת תיכונה, גזרה מערבית",310,מושב,42,מועצה אזורית מרחבים,2.6,1,יהודים,99.6,22.1,61.1,16.8,27.1,59.2,13.7,16.7,63.1,20.2,735.1,34,34,35,47.1,52.9,47.7,52.3,46.5,53.5,72.3,27.7,90.9,5.2,2.6,1.3,28.4,60.2,7.2,4.2,,500
אשבל,1276,1979,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,,ללא שיוך למטרופולין,330,קיבוץ,56,מועצה אזורית משגב,0.8,1,יהודים,94.9,31.6,68.4,,34.7,65.3,,26.7,73.3,,580,27,27,27,,100,,100,,100,90.7,9.3,,14.3,71.4,14.3,53.3,2.7,24,14.7,5.3,500
אשדות יעקב (מאוחד),188,1933,2,מחוז הצפון,22,נפת כנרת,221,כינרות,,ללא שיוך למטרופולין,330,קיבוץ,6,מועצה אזורית עמק הירדן,3.6,1,יהודים,94.2,24.8,56.5,18.7,24.6,56.9,18.6,25.1,56.2,18.8,883.5,36,37,36,53.9,46.1,58.2,41.8,50.2,49.8,77.7,22.3,45.5,28.1,21.8,4.6,42.9,6.7,12.2,31.2,7,500
אשחר,1188,1986,2,מחוז הצפון,24,נפת עכו,241,אזור שפרעם,,ללא שיוך למטרופולין,370,יישוב קהילתי,56,מועצה אזורית משגב,4.7,1,יהודים,100,43.4,55.5,1.1,43.4,55.3,1.3,43.5,55.7,0.9,908.1,22,22,22,70.7,29.3,70.3,29.7,71.1,28.9,85.3,14.7,7.2,54.9,34.8,3,52.4,5.1,7.6,20.3,14.6,500
אשלים,1152,1976,6,מחוז הדרום,62,נפת באר שבע,626,הר הנגב הצפוני,333,"מטרופולין באר שבע, טבעת תיכונה, גזרה דרומית",370,יישוב קהילתי,48,מועצה אזורית רמת נגב,2.6,1,יהודים,97.6,31.5,66.9,1.6,37.7,60.4,1.9,24.9,73.7,1.4,535.2,28,27,29,54.6,45.4,56.4,43.6,53,47,83.1,16.9,19.8,44.1,22,14,46.2,7.5,20.7,17.1,8.4,500
באר אורה,21,1950,6,מחוז הדרום,62,נפת באר שבע,625,הערבה,,ללא שיוך למטרופולין,370,יישוב קהילתי,53,מועצה אזורית חבל אילות,1,1,יהודים,95.8,49.9,49.2,1,50.8,47.2,2,49,51,,1217.1,18,17,18,74.6,25.4,79.2,20.8,70.7,29.3,92.5,7.5,,40.8,59.2,,60.7,8.5,18,11.7,1,500
בארות יצחק,450,1948,4,מחוז המרכז,42,נפת פתח תקווה,422,אזור פתח תקווה,142,"מטרופולין תל אביב, טבעת חיצונית, גזרה מזרחית",330,קיבוץ,25,מועצה אזורית חבל מודיעין,3.8,1,יהודים,99.1,30,56.8,13.2,33.9,55.1,11.1,26.3,58.4,15.3,842.7,30,28,32,57.3,42.7,59.8,40.2,55,45,73.1,26.9,34.9,33.7,16.5,14.9,34.7,6,8.4,33.8,17.1,500
בחן,2043,1953,4,מחוז המרכז,41,נפת השרון,412,מזרח השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",330,קיבוץ,16,מועצה אזורית עמק חפר,3.9,1,יהודים,96.1,37.3,48.8,13.9,50.9,37.6,11.5,16.9,65.7,17.4,1205.9,29,17,38,50.3,49.7,50.9,49.1,49.7,50.3,73.5,26.5,28.3,58.8,11.8,1,36.3,6,7.3,16.7,33.7,500
בית אורן,317,1939,3,מחוז חיפה,32,נפת חדרה,322,אזור זכרון יעקב,223,"מטרופולין חיפה, טבעת פנימית, גזרה דרומית",330,קיבוץ,15,מועצה אזורית חוף הכרמל,4,1,יהודים,94.3,20.4,73.8,5.8,21.1,72.5,6.4,19.7,75.2,5.1,433.7,36,36,36,43.3,56.7,41.6,58.4,45.2,54.8,87.5,12.5,40.5,48.8,7.8,2.9,52.8,7.9,10.4,26.3,2.6,500
בית גוברין,619,1949,6,מחוז הדרום,61,נפת אשקלון,612,אזור לכיש,,ללא שיוך למטרופולין,330,קיבוץ,35,מועצה אזורית יואב,3,1,יהודים,97.7,29.6,64.4,5.9,29.9,62.7,7.5,29.4,66.1,4.5,987.3,24,24,24,44.3,55.7,45.9,54.1,42.7,57.3,90.5,9.5,17.7,55.7,20.2,6.5,55,6.2,10,20.6,8.2,500
בית העמק,572,1949,2,מחוז הצפון,24,נפת עכו,245,אזור נהרייה,241,"מטרופולין חיפה, טבעת חיצונית, גזרה צפונית",330,קיבוץ,4,מועצה אזורית מטה אשר,4.9,1,יהודים,94.6,21.7,56.5,21.7,22.3,58.5,19.2,21.2,54.6,24.1,886.2,38,35,41,47.4,52.6,51.3,48.7,43.8,56.2,63.7,36.3,20.3,35.3,34.3,10.1,33.8,2.7,2.9,50.5,10.1,500
בית הערבה,3645,1980,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,330,קיבוץ,74,מועצה אזורית מגילות ים-המלח,1,1,יהודים,98,43.8,56.2,,46.7,53.3,,40.9,59.1,,780.4,28,27,28,76.1,23.9,71.9,28.1,80,20,83.3,16.7,,24,65,11,41.5,11.1,12.4,24.4,10.6,500
בית חלקיה,2033,1953,4,מחוז המרכז,44,נפת רחובות,441,אזור רחובות,143,"מטרופולין תל אביב, טבעת חיצונית, גזרה דרומית",310,מושב,31,מועצה אזורית נחל שורק,4.5,1,יהודים,100,48.8,44.3,7,48.8,43.7,7.5,48.7,44.8,6.4,1479.7,18,18,18,66.3,33.7,70.3,29.7,62.7,37.3,86.4,13.6,51.2,35.3,12,1.5,61.2,1.2,1.9,24.5,11.2,500
בית יוסף,265,1937,2,מחוז הצפון,23,נפת יזרעאל,231,עמק בית שאן,,ללא שיוך למטרופולין,310,מושב,7,מועצה אזורית עמק המעיינות,4.2,1,יהודים,100,35.9,54.7,9.4,37.3,55.6,7.1,34.4,53.6,12,920.3,31,29,34,58.8,41.2,56.8,43.2,61.1,38.9,83.7,16.3,77.7,21.3,1,,42.8,50.2,5,1.9,,500
בית ינאי,200,1933,4,מחוז המרכז,41,נפת השרון,411,מערב השרון,141,"מטרופולין תל אביב, טבעת חיצונית, גזרה צפונית",310,מושב,16,מועצה אזורית עמק חפר,3.4,1,יהודים,100,26.2,62.8,11,27.5,61.2,11.3,24.8,64.6,10.6,675,33,32,35,49.3,50.7,47.1,52.9,51.7,48.3,86.7,13.3,37.6,32.8,19.4,10.1,53.7,3.8,5.4,26,11,500
