,formatted_address,google_place_id,input_string,latitude,longitude
63,"Kfar Ahim, Israel",ChIJ3_Gh68a9AhURZIa_ot7a9uM,כפר אחים,31.745864,34.755932
64,"Ben Avigdor St 22, Tel Aviv-Yafo, Israel",ChIJfR_FcnZLHRUR3pzEaHWUmSY,אביגדור,32.066987100000006,34.7900679
65,,,אורות,,
66,"Ahva, Israel",ChIJpTf5zdu9AhUR_AaWnQuWWP4,אחווה,31.742893,34.767848
67,"Al-'Azi, Israel",ChIJMfEatTW-AhURVL4CDnJvczM,אל עזי,31.71886799999999,34.814254
68,"Kissufim, Israel",ChIJbdrJcseF_RQRQVlt4PQ_GoU,כיסופים,31.374545,34.398992
69,"Hatzerim, Israel",ChIJcctZ3Y9vAhURPttz40mmP3A,חצרים,31.240603000000004,34.717427
70,"Be'er Sheva, Israel",ChIJd4efAkBmAhUR2F3rLQHo3gg,באר שבע,31.252972999999997,34.791462
71,"Mas'udein el-Azazme, Israel",ChIJWQ_DsopoAhUR4V6LnazORhY,מסעודין אל עזאזמה,31.199264000000003,34.817448999999996
72,"Tifrah, Israel",ChIJN6-mnUl7AhURn5Yr4B6hE2w,תפרח,31.324471000000003,34.679235999999996
73,"Bitha, Israel",ChIJmclYSKJ7AhUR1WEpsdxq0HI,בטחה,31.333869,34.634318
74,"Gilat, Israel",ChIJPzRcnQ57AhUR_pcOtN6-teY,גילת,31.326321000000004,34.648934000000004
75,"Ta'ashur, Israel",ChIJ_1s-5op8AhURkeco5uCLeFA,תאשור,31.371709000000003,34.643547
76,"Tidhar, Israel",ChIJrfVOM118AhURjmdcGIDnsPE,תדהר,31.37885799999999,34.630364
77,,,ברוש,,
78,"Givolim, Israel",ChIJZyxx25x-AhUR9kZkg3H3_hM,גבעולים,31.397603999999998,34.593821000000005
79,"Mlilot, Israel",ChIJ0WV_up9-AhUR0_CV3s9RI5Q,מלילות,31.389896999999998,34.595242999999996
80,,,מעגלים,,
81,"Shibolim, Israel",ChIJQ3qR1S98AhURHOYLwCxaNVg,שיבולים,31.396397999999998,34.608144
82,"Sharsheret, Israel",ChIJ-7Mqzyx8AhURQl9SyFWKMgY,שרשרת,31.404819,34.604397
83,"Nir Moshe, Israel",ChIJawxrVB2HAhUR70mSbbH4DTw,ניר משה,31.477456,34.630085
84,"Nir Akiva, Israel",ChIJOZxfm6uHAhURny48TYcaHJo,ניר עקיבא,31.469933,34.646166
85,"Pa'amei Tashaz, Israel",ChIJPaxRyQyIAhURhyoSxqvaOWU,"פעמי תש""ז",31.437966999999997,34.692875
86,"Klahim, Israel",ChIJdQMHzNuHAhURwKpzPNnaVEQ,קלחים,31.449795,34.679092
87,"Shavei Darom, Israel",ChIJQz-5SgaHAhURrrW2sTgqjhY,שבי דרום,31.46637699999999,34.638576
88,"Sde Tzvi, Israel",ChIJfaLGzF6IAhUROTaeKo4sxDI,שדה צבי,31.448746999999997,34.713234
89,"Talmei Bilu, Israel",ChIJVWv914OHAhURdSSuX8kRcRw,"תלמי ביל""ו",31.438055,34.644822999999995
90,"Beit HaGadi, Israel",ChIJbRokNN19AhURZXd_kCHwbaM,בית הגדי,31.422839,34.607878
91,"Netivot, Israel",ChIJK-qF2HV-AhURarqClNndXp4,נתיבות,31.423196,34.595254
92,Israel,ChIJS_0Kcwt-AhURjR2PuRmrx9Q,קרית חינוך שדות נגב,31.431040000000003,34.592817
93,"Eshbol, Israel",ChIJsw8LZOqHAhURfXhjLZ-NVR4,אשבול,31.44551599999999,34.666654
94,"Zru'a, Israel",ChIJFwr3UWuHAhURcV0iuM3kr_I,זרועה,31.459133,34.624161
95,"Yoshivia, Israel",ChIJG0s3BViHAhURzpmi-jycU1M,יושיביה,31.444699,34.608784
96,"Mabu'im, Israel",ChIJwyFE0peHAhURAgvMc8-tZ64,מבועים,31.44945,34.65499399999999
97,"Eshkol Regional Council, Israel",ChIJj7jy5GGJ_RQRimzaLgX8qf4,מועצה אזורית אשכול,31.206808399999996,34.4641848
98,,,מפעלי מעון,,
99,"Ein HaBesor, Israel",ChIJR6djShaJ_RQR8UZoR6HY7zk,עין הבשור,31.280895,34.443446
100,"Magen, Israel",ChIJX3aa3CmJ_RQRhb5qDLPiabA,מגן,31.298108000000003,34.427059
101,"Nir Yitzhak, Israel",ChIJ6WSzpAuN_RQRlW7Bg1gRmsg,ניר יצחק,31.236040000000003,34.356702
102,"Sufa, Israel",ChIJvYjJB3qN_RQRQiX9a9qfqt0,סופה,31.238309,34.341986999999996
103,"Holit, Israel",ChIJ_0SyHZ-S_RQRDUoxkb5QtjY,חולית,31.230563,34.32734
104,"Talmei Yosef, Israel",ChIJ0V0XezKN_RQRl4SCp0EtT7s,תלמי יוסף,31.199958000000002,34.363751
105,"Yated, Israel",ChIJ3Zw8mFTt_RQRt7P4fcBDopY,יתד,31.207041999999998,34.326126
106,"Neve, Israel",ChIJtR0ztIDt_RQRTnMX4XnjYA8,נווה,31.162183000000002,34.329827
107,"Pri Gan, Israel",ChIJh0MYABWN_RQR2WebbSDGA9U,פרי גן,31.222015000000003,34.355936
108,"Sdei Avraham, Israel",ChIJN90OuVaN_RQRaqBNlRNAZzA,שדי אברהם,31.211594,34.335692
109,"Shlomit, Israel",ChIJv2GTq9js_RQRxFDgNTc2Dq0,שלומית,31.206486199999997,34.284526
110,"Bnei Netsarim, Israel",ChIJhf044-7t_RQRomaJ_AKj82E,בני נצרים,31.143513000000002,34.316403
111,"Dekel, Israel",ChIJq3puR7Hy_RQRkg_wtJlLepQ,דקל,31.195908000000003,34.346771000000004
112,"Yevul, Israel",ChIJ1yTiE2jt_RQRtG1rwNXSW50,יבול,31.189458000000002,34.318952
113,,,אבשלום,,
114,"Ranen, Israel",ChIJX-fbqdl7AhURwAJLAiBu3Y8,רנן,31.33871,34.600358
115,"Peduim, Israel",ChIJC7O4QMx7AhUR8EjO38Vtttk,פדויים,31.326275,34.612069
116,"Bograshov St 47, Tel Aviv-Yafo, Israel",ChIJoRh2sn9MHRURt_FtjiH3lqE,מסלול,32.0761138,34.7715864
117,"Ofakim, Israel",ChIJX4Hp5Eh6AhURjgCRJy9y3qA,אופקים,31.311336999999998,34.622824
118,"Patish, Israel",ChIJ3cYxw7F5AhURPLO5DidGWCA,פטיש,31.327828999999998,34.559981
119,"Urim, Israel",ChIJTRJBq_Z3AhUR77TvoukSCNc,אורים,31.304094,34.524868
120,"Bnei Darom, Israel",ChIJyyjoc1a7AhURQjSgczEjwvg,בני דרום,31.820870000000003,34.691609
121,Israel,ChIJWRuF_FS7AhUR09fPgwTi4H4,נווה הרצוג,31.8233,34.687861
122,"Nir Galim, Israel",ChIJ99ufpqukAhURWG9COXcvZ4c,ניר גלים,31.82552,34.68254
123,"Ad Halom Bridge, Israel",ChIJ0fXXTdmiAhURNBZVCdWqWQ8,עד הלום,31.781959999999998,34.6694
124,"Ashdod, Israel",ChIJ7-RHdRGjAhURL2OGWhptgJc,אשדוד,31.804381,34.655314000000004
125,"Shtulim, Israel",ChIJywXJ3dKiAhURUsG5_rOT82E,שתולים,31.773687,34.684409
126,"Emunim, Israel",ChIJUd5GCAiYAhUR0P81VRTJcd0,אמונים,31.743885,34.674492
127,"Beit Ezra, Israel",ChIJA_B8mW6YAhURDdmHytkU1vk,בית עזרא,31.736402000000002,34.657514
128,"Giv'ati, Israel",ChIJTydorQSYAhURzk81FXRoEBU,גבעתי,31.733138,34.679478
129,"Ezer, Israel",ChIJsX4ELg6YAhURkULDKpg2ro4,עזר,31.736151,34.671447
130,"Azrikam, Israel",ChIJh0ogEU-9AhURHTo58ZNi7SE,עזריקם,31.751695,34.694818
131,"Sde Uziyahu, Israel",ChIJOxHaMrGiAhUR6460J2Srj68,שדה עוזיהו,31.758437,34.678194
132,"Komemiyut, Israel",ChIJFQUzrSCXAhURZ06yCgjl9hY,קוממיות,31.662583,34.72929999999999
133,"Revaha, Israel",ChIJT7P_9dSWAhURvyPyldfOyyE,רווחה,31.648695,34.733681
134,"Zrahia, Israel",ChIJ9-TyB_aWAhURytuJG34AHrA,זרחיה,31.681742,34.746419
135,"Menuha, Israel",ChIJ-3lgGSGUAhURTDUYSYKYpBY,מנוחה,31.656159000000002,34.777273
136,"Nahala, Israel",ChIJTRnrBDeUAhURlz3O80yesNc,נחלה,31.66,34.792817
137,"Nir Banim, Israel",ChIJRapLoY2WAhUR6dqRcKbz2S4,ניר בנים,31.671177,34.755012
138,"Sgula, Israel",ChIJpQMtmSuUAhURcKb6KksvsBo,סגולה,31.66954599999999,34.778426
139,"1525 Fillmore St, San Francisco, CA 94115, USA",ChIJ8zXoo7mAhYARtoa-WE3d5NE,קדמה,37.7836893,-122.4329965
140,"Vardon, Israel",ChIJF8GfAi-UAhURJbEAsO80kcs,ורדון,31.663822999999997,34.781766
141,"Zavdiel, Israel",ChIJFde-kb2WAhURQglS6Bin8oo,זבדיאל,31.6592451,34.7602609
142,,,אלומה,,
143,"Mefalsim, Israel",ChIJJ1_SDQOBAhURi0TnSnP8kYs,מפלסים,31.50220599999999,34.561674
144,"Ibim, Israel",ChIJoztHmBqEAhUReFaM_e56Evg,איבים,31.533596999999997,34.609697
145,"Gevim, Israel",ChIJXwyik8qGAhURVVc2MIbMCf8,גבים,31.506272999999997,34.598949
146,"ד.נ חוף אשקלון מועצה אזורית שער הנגב, 7915600, Israel",ChIJ7ZPmlkqBAhURbEuDw90q-dI,מכללת ספיר,31.5093864,34.594522999999995
147,"Nir Am, Israel",ChIJ94N8B0SBAhURMfd0kwPHRkM,ניר עם,31.518459000000004,34.580544
148,"Sderot, Israel",ChIJK0K8tVKBAhURChPSGjVEyp4,שדרות,31.52269399999999,34.595581
149,"Nitzan, Israel",ChIJ2ZVvr_KYAhURsaMZETS6gpU,ניצן,31.737517999999998,34.630804
150,"Nitzan Bet, Israel",ChIJF-ekGIuYAhUR4RAzdhjPuXw,ניצן ב',31.737089,34.638234999999995
151,"Nitzanim, Israel",ChIJbx186_2YAhURp9YOUvfIxJQ,ניצנים,31.717845,34.634636
152,"Tel Aviv-Yafo, Israel",ChIJH3w7GaZMHRURkD-WwKJy-8E,תל אביב יפו,32.0852999,34.78176759999999
153,"Glil Yam, Israel",ChIJPQpN3mhIHRUR5TlNctlvTY0,גליל ים,32.158797,34.831876
154,"HaKfar HaYarok, Ramat Hasharon, Israel",ChIJBUH4p7JJHRURLy-v0Ns7vKo,הכפר הירוק,32.135172,34.829305
155,"Herzliya, Israel",ChIJb-UlwQ1IHRURxMFKFMsjoEY,הרצליה,32.162413,34.844675
156,"Kfar Shmaryahu, Israel",ChIJO_2CBdJHHRURSS9CuxEzbGE,כפר שמריהו,32.187123,34.823124
157,"Ramat Hasharon, Israel",ChIJdWZI5UtIHRUREKFBBFqVWY0,רמת השרון,32.137793,34.840278000000005
158,"Shoham, Israel",ChIJ2288Ppw0HRUROqW3rJWv-Tw,שוהם,31.9957581,34.9488403
159,"Ahi'ezer, Israel",ChIJ33feQZjKAhURqwGITxIuR0w,אחיעזר,31.981671000000002,34.871821000000004
160,"Beit Dagan, Israel",ChIJ_8Brfjy1AhURNatGR16AZ_Y,בית דגן,32.0017816,34.829708700000005
161,"Ganot, Israel",ChIJb0RWI9NKHRURfKaglSNCBdw,גנות,32.018204,34.825877
162,"Zeitan, Israel",ChIJu5VSuenKAhURNQu6-JbF-Qk,זיתן,31.975178000000003,34.891732
163,"Hemed, Israel",ChIJASk5DrZKHRURKMMdTxV8qsc,חמד,32.017992,34.841265
164,"Yagel, Israel",ChIJz6ngn7nKAhURSdVBCgwDPyA,יגל,31.987792,34.880262
165,"Kfar Habad, Israel",ChIJDYFcgkK1AhURDazK6ugEzcU,"כפר חב""ד",31.990144,34.849103
166,"Kfar Truman, Israel",ChIJyRxF4jXLAhUR5yNIMi9rY80,כפר טרומן,31.980493,34.927696000000005
167,"Mishmar HaShiv'a, Israel",ChIJgxriHym1AhUR85yu7NVfa98,משמר השבעה,32.010891,34.822337
168,"Tzafria, Israel",ChIJgebiyFO1AhURtr50VB1HVAo,צפריה,32.004315000000005,34.854664
169,"Magshimim, Israel",ChIJEzvi5rE1HRURVVpbzSPMYus,מגשימים,32.044363,34.899834000000006
170,"Mazor, Israel",ChIJ00Uq9hY0HRURh9S2fSnMmDw,מזור,32.050698,34.931373
171,"Nofekh, Israel",ChIJCw8HYEY0HRURWhbUhjhRa_g,נופך,32.043748,34.920306
172,"Nehalim, Israel",ChIJt3KDwTE0HRURTgBW6O065eU,נחלים,32.058597000000006,34.9136
173,"Nahshonim, Israel",ChIJm8qpkas2HRURRK8JSLA-dXY,נחשונים,32.063235999999996,34.947010999999996
174,"Rinatya, Israel",ChIJV7HcAkA0HRURuaRsU1X4bHM,רינתיה,32.044365,34.928477
175,"Einat, Israel",ChIJb_72h8c2HRUR0PhKMt7eMsc,עינת,32.081948,34.937514
176,"Rosh Haayin, Israel",ChIJTbFX6ioxHRURHn9WS3zh798,ראש העין,32.095838,34.952177
177,"Beit Nehemia, Israel",ChIJRY-2LKvMAhURw-aqwQoipEA,בית נחמיה,31.977141999999997,34.953835
178,"Beit Arif, Israel",ChIJI853M7o0HRURZdqxvb8QNiQ,בית עריף,31.995352,34.935103000000005
179,"Bareket, Israel",ChIJof8eG4c0HRUR6Sj-Lnl-zU8,ברקת,32.018344,34.943179
180,"Hadid, Israel",ChIJS-tGzkbLAhUR40kFzRm6dSA,חדיד,31.969428999999998,34.932156
181,"Tirat Yehuda, Israel",ChIJy6DxW440HRUROtOX2eAo5s8,טירת יהודה,32.014833,34.935878
182,"Shoham Center, Israel",ChIJZeBwZaU0HRURhTOLzMKzG8Q,מרכז שוהם,31.991562,34.941558
183,"Rishon LeTsiyon, Israel",ChIJ_2arJzi0AhURuHoaV0rFvBc,ראשון לציון,31.973001500000002,34.7925013
184,"Or Yehuda, Israel",ChIJh6SH2phKHRURJa93EDPAJz8,אור יהודה,32.029748,34.85617300000001
185,"Ganei Tikva, Israel",ChIJ1V1eY401HRURBwQnmFvUCS4,גני תקווה,32.060497,34.873121000000005
186,"Yehud, Israel",ChIJpzw_5m01HRURkMHzaBYKjtk,יהוד מונוסון,32.030339,34.8870985
187,"Kfar Azar, Ramat Gan, Israel",ChIJ_R-6EGdKHRUR3PxCDq3LUic,"כפר אז""ר",32.0584275,34.8417207
188,"Kfar Ma'as, Israel",ChIJdY8cVcQ1HRUR0wKjcgmm9tY,מעש,32.063511,34.892639
189,"Ramat Efal, Ramat Gan, Israel",ChIJR4m_yO9KHRURB4Y7v_OoQtQ,נווה אפעל,32.047236,34.835859
190,"Savyon, Israel",ChIJrdKlZJw1HRUR4eQ2pUFARuA,סביון,32.045589,34.87657799999999
191,"Kiryat Ono, Israel",ChIJbSk8pXlKHRURCJwQHISUFZw,קרית אונו,32.054863,34.85885800000001
192,"Ramat Efal, Ramat Gan, Israel",ChIJR4m_yO9KHRURB4Y7v_OoQtQ,רמת אפעל,32.047236,34.835859
193,"El'ad, Israel",ChIJnw1AdvgzHRURye_13WoFfns,אלעד,32.04953,34.95075
194,"Be'erot Yitzhak, Israel",ChIJjwG9vU00HRURRyeE-n8JJpU,בארות יצחק,32.042025,34.910221
195,"Bnei Atarot, Israel",ChIJb49zxfw0HRURx5QSInW2rF0,בני עטרות,32.02147,34.910146000000005
196,"Giv'at Ko'ah, Israel",ChIJ4wPc8G80HRURnZyxtzCkPVI,"גבעת כ""ח",32.032090999999994,34.938796
197,"Gan Sorek, Israel",ChIJwSfjGkSxAhURZRrkxyNUwxo,גן שורק,31.944011,34.758322
198,"Neta'im, Israel",ChIJDR3JIK22AhURB0F5ofRJf-M,נטעים,31.945689,34.775145
199,"Palmachim, Israel",ChIJAb8pbjWwAhURbYSKY1Bso9M,פלמחים,31.932705,34.706874
200,"Qiryat Shemona, Israel",ChIJSbStEFS9HhURrbtscsZJZDk,קרית שמונה,33.207933000000004,35.570246000000004
201,"כביש 9977, קרית שמונה, 1220800, Israel",ChIJQXGzN3e9HhURqxX6b8qlpfA,תל חי,33.235864,35.578207
202,"Manara, Israel",ChIJ30RNKj6YHhURiPza90g6FP8,מנרה,33.195375,35.543728
203,"Ma'ayan Baruch, Israel",ChIJb6BgUq29HhURsEWjoEf6EWg,מעיין ברוך,33.239349,35.609359000000005
204,"Margaliot, Israel",ChIJq_4krvSXHhURQRATvjlYMD4,מרגליות,33.216474,35.544354
205,"Misgav Am, Israel",ChIJZ22BncuXHhURYfMPmWzfrc4,משגב עם,33.247572,35.548499
206,"Beit Hillel, Israel",ChIJNc0nASG9HhURoVEBEM9g6MU,בית הלל,33.208782,35.606515
207,"Yuval, Israel",ChIJS0b2Xrq9HhURNCLys512a30,יובל,33.246577,35.597063
208,"Kfar Giladi, Israel",ChIJ-UsBh4K9HhURx2MTmV7M83s,כפר גלעדי,33.242078,35.574141999999995
209,"Metula, Israel",ChIJ6w754OK9HhURDDldD2BqBr0,מטולה,33.277232,35.578235
210,"Shdema, Israel",ChIJGxHkWqW7AhURR5rqHfFv2Xg,שדמה,31.833778000000002,34.74009
211,"Kfar Aviv, Israel",ChIJX9_v6Qy7AhURykZ3EmstPzQ,כפר אביב,31.831039,34.722577
212,"Kfar Mordechai, Israel",ChIJ4V1V2Mi7AhURFgn-dQQDib0,כפר מרדכי,31.831504,34.756643
213,"כרם ביבנה, Israel",ChIJKcAkNnq7AhUROHEX11JGrkc,כרם יבנה,31.816957399999996,34.7236186
214,"Meishar, Israel",ChIJ5z1oUOu7AhURsHWr8aD46o8,מישר,31.815935999999997,34.752588
215,"Misgav Dov, Israel",ChIJyzuYJJq7AhUREnfuJ3gLNAM,משגב דב,31.819053999999998,34.739162
216,"Aseret, Israel",ChIJhfyYjr67AhURaYyLipQHPrY,עשרת,31.824913000000002,34.747459
217,Israel,ChIJA4VrY1q6AhURZyT6obwzbdE,צופיה,31.8556962,34.737894299999994
218,"Kvutzat Yavne, Israel",ChIJT_nxzXy7AhURkCrs1JEG4_0,קבוצת יבנה,31.81398699999999,34.719103000000004
219,"Beit Gamliel, Israel",ChIJkbUnDj26AhURu0arzq175pc,בית גמליאל,31.856128000000002,34.760946999999994
220,"Givat Washington, Israel",ChIJKQ0PHHi7AhURlP5u-NwK9Xw,בית רבן,31.817496999999996,34.7289
221,"Ben Zakai, Israel",ChIJMyYZNPi6AhURW5hJUquB-C0,בן זכאי,31.85722299999999,34.727432
222,"Bnaya, Israel",ChIJ_eTWfkq6AhURUD27nYbCBvI,בניה,31.84344399999999,34.751793
223,"Givat Hen, Israel",ChIJwct4Ehs4HRURGTFS4wj2q-w,"גבעת ח""ן",32.16758,34.875514
224,"Ra'anana, Israel",ChIJ4YUw-HI4HRUR0bpdpwAdTxE,רעננה,32.184781,34.871326
225,"Rishpon, Israel",ChIJSzegs7ZHHRURj609UxDsDwo,רשפון,32.201856,34.824723
226,"Beit Guvrin-Maresha National Park, Israel",ChIJuQKlsmTrAhURib1Zc_Ek5ow,בית גוברין,31.601631,34.895464000000004
227,"Beit Nir, Israel",ChIJXbGqVtfqAhURXO2LwiPVjrM,בית ניר,31.647627000000004,34.873107
228,"Gal On, Israel",ChIJWy3BVsaUAhURqurhLqgjy1k,גלאון,31.63337099999999,34.848898
229,"Lachish, Israel",ChIJJ1wXPMOSAhURpHibDAduRUg,לכיש,31.560907,34.84409
230,"Revadim, Israel",ChIJh1S15Na-AhUR60ANzXz0fo8,רבדים,31.773965999999998,34.814807
231,Israel,ChIJWdLBsp6-AhURILedFynegTM,ברורים,31.767771999999997,34.779517999999996
232,"Gedera, Israel",ChIJ01avgGW5AhURMUaFg-ORCIk,גדרה,31.812301399999996,34.77701920000001
233,"Ganei Tal, Israel",ChIJQ4SRTUu5AhURwR2vE1yg3EA,גני טל,31.788573,34.791392
234,"Hafetz Haim, Israel",ChIJS3dPRjS5AhUR-7NhQ5c-9PU,חפץ חיים,31.789319,34.799739
235,"Yad Binyamin, Israel",ChIJ937SB9-4AhURjX5Fb3JPQpk,יד בנימין,31.796684999999997,34.820370000000004
236,"Kidron, Israel",ChIJs_GT0Gy5AhURrbEd1XGr6U0,קדרון,31.814141999999997,34.795548
237,"Beit Elazari, Israel",ChIJgb6558e5AhURtZjRgPfxk94,בית אלעזרי,31.844717,34.806627
238,"Beit Hilkia, Israel",ChIJudlIeSW5AhURUR9P9VwOSA0,בית חלקיה,31.793001,34.809698
