מפקד האוכלוסין 2008,,חזרה להסברים על הקובץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הלשכה המרכזית לסטטיסטיקה,,חזרה לאינדקס משתנים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,תכונות גאוגרפיות ומשתנים דמוגרפיים ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,אום אל-פחם,,,,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,26.2,45.0,22.9,22.1,1717.1,2,מוסלמים,99.8,,46.1,50.6,3.3,47.0,50.2,2.9,45.3,50.9,3.7,1137.3,20.0,19.0,20.0,62.3,37.7,61.1,38.9,63.4,36.6,,,,,,,,,,,
10,אום אל-פחם,,1,,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,16.0,8.1,7.8,,2,מוסלמים,99.8,,46.5,50.9,2.5,47.0,50.5,2.6,46.0,51.4,2.5,1119.4,19.0,19.0,19.0,64.1,35.9,62.9,37.1,65.2,34.8,,,,,,,,,,,
11,אום אל-פחם,,1,11,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,1.8,0.9,0.9,,2,מוסלמים,99.8,,48.1,49.8,2.1,48.9,49.0,2.1,47.3,50.6,2.1,1183.9,19.0,18.0,19.0,65.3,34.7,65.2,34.8,65.4,34.6,,,,,,,,,,,
12,אום אל-פחם,,1,12,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,4.6,2.4,2.3,,2,מוסלמים,99.8,,45.9,51.2,2.9,46.0,51.1,2.9,45.8,51.4,2.8,1114.6,20.0,20.0,19.0,65.1,34.9,64.6,35.4,65.5,34.5,,,,,,,,,,,
13,אום אל-פחם,,1,13,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,2.3,1.2,1.1,,2,מוסלמים,99.7,,46.6,51.0,2.4,46.3,51.0,2.7,46.9,50.9,2.1,1130.6,19.0,19.0,19.0,62.5,37.5,59.9,40.1,65.4,34.6,,,,,,,,,,,
14,אום אל-פחם,,1,14,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,2.5,1.3,1.2,,2,מוסלמים,99.9,,49.1,48.1,2.8,50.9,46.6,2.5,47.3,49.7,3.1,1286.6,18.0,17.0,19.0,58.2,41.8,57.2,42.8,59.1,40.9,,,,,,,,,,,
15,אום אל-פחם,,1,15,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,4.7,2.4,2.3,,2,מוסלמים,99.8,,45.1,52.6,2.3,45.4,52.2,2.4,44.8,52.9,2.3,1016.4,21.0,21.0,21.0,66.4,33.6,64.9,35.1,67.8,32.2,,,,,,,,,,,
16,אום אל-פחם,,2,,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,8.9,4.5,4.4,,2,מוסלמים,99.8,,46.3,47.6,6.0,48.0,47.5,4.4,44.6,47.8,7.6,1313.6,19.0,18.0,20.0,54.4,45.6,55.7,44.3,53.2,46.8,,,,,,,,,,,
17,אום אל-פחם,,2,21,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,4.5,2.3,2.2,,2,מוסלמים,99.8,,44.8,49.4,5.8,47.6,48.2,4.2,41.8,50.7,7.5,1206.9,20.0,19.0,22.0,52.3,47.7,51.7,48.3,52.9,47.1,,,,,,,,,,,
18,אום אל-פחם,,2,22,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,4.4,2.1,2.2,,2,מוסלמים,99.8,,47.9,45.8,6.2,48.5,46.8,4.7,47.4,44.9,7.7,1435.2,18.0,18.0,19.0,56.7,43.3,60.0,40.0,53.6,46.4,,,,,,,,,,,
19,אום אל-פחם,,3,,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,20.2,10.3,9.8,,2,מוסלמים,99.8,,45.8,51.5,2.7,46.5,51.1,2.4,45.1,52.0,2.9,1081.2,20.0,20.0,20.0,64.3,35.7,62.0,38.0,66.6,33.4,,,,,,,,,,,
20,אום אל-פחם,,3,31,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,6.5,3.3,3.2,,2,מוסלמים,99.8,,39.5,56.4,4.1,39.7,56.5,3.8,39.3,56.2,4.5,874.4,24.0,24.0,24.0,64.8,35.2,62.7,37.3,67.1,32.9,,,,,,,,,,,
21,אום אל-פחם,,3,32,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,1.7,0.9,0.8,,2,מוסלמים,100.0,,44.7,52.0,3.3,44.0,53.1,2.8,45.4,50.8,3.8,1068.0,21.0,21.0,20.0,64.8,35.2,60.3,39.7,69.8,30.2,,,,,,,,,,,
22,אום אל-פחם,,3,33,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,7.0,3.6,3.4,,2,מוסלמים,99.8,,48.2,50.3,1.5,49.4,49.2,1.4,46.9,51.4,1.7,1149.5,18.0,18.0,19.0,64.4,35.6,62.3,37.7,66.7,33.3,,,,,,,,,,,
23,אום אל-פחם,,3,34,2710,,3,מחוז חיפה,32,נפת חדרה,323,הר אלכסנדר,,ללא שיוך למטרופולין,260,"יישוב לא יהודי 49,999-20,000 תושבים",0,עירייה,,5.0,2.5,2.5,,2,מוסלמים,99.8,,50.9,46.9,2.2,51.9,46.1,1.9,49.8,47.7,2.5,1313.0,17.0,17.0,18.0,63.0,37.0,61.4,38.6,64.7,35.3,,,,,,,,,,,
24,אופקים,,,,31,1955,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,10.3,24.0,11.5,12.5,2338.5,1,יהודים,92.6,3.6,34.7,56.1,9.2,35.8,56.1,8.1,33.6,56.1,10.3,938.3,26.0,26.0,26.0,50.9,49.1,54.4,45.6,47.8,52.2,66.4,33.6,15.5,19.4,61.9,3.2,32.0,6.8,32.3,27.4,1.6
25,אופקים,,,1,31,1955,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.4,2.1,2.3,,1,יהודים,88.7,,33.1,55.0,11.8,34.6,54.6,10.8,31.8,55.5,12.7,937.5,29.0,28.0,31.0,49.7,50.3,53.8,46.2,46.1,53.9,54.6,45.4,4.4,11.7,81.7,2.2,21.8,4.6,30.0,43.5,0.2
26,אופקים,,,2,31,1955,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.1,1.5,1.6,,1,יהודים,93.7,,22.0,58.2,19.8,23.0,60.5,16.4,21.0,56.1,22.9,788.0,40.0,37.0,42.0,47.0,53.0,49.8,50.2,44.4,55.6,53.7,46.3,27.3,23.9,46.4,2.4,20.9,7.9,46.6,24.1,0.5
27,אופקים,,,3,31,1955,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.3,1.4,1.9,,1,יהודים,92.4,,19.9,67.0,13.1,24.0,64.0,12.0,16.8,69.3,13.9,829.4,28.0,32.0,24.0,36.5,63.5,44.1,55.9,31.2,68.8,60.9,39.1,21.2,24.5,47.1,7.2,24.9,9.0,38.3,24.3,3.5
28,אופקים,,,4,31,1955,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.7,1.4,1.4,,1,יהודים,97.1,,37.1,56.9,6.0,34.9,60.0,5.1,39.3,53.7,7.0,918.4,23.0,24.0,23.0,53.0,47.0,51.8,48.2,54.3,45.7,79.0,21.0,41.5,26.7,29.2,2.5,41.2,9.0,35.2,12.9,1.8
29,אופקים,,,6,31,1955,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,6.1,2.9,3.2,,1,יהודים,97.8,,50.1,46.0,4.0,50.6,45.7,3.7,49.6,46.2,4.2,1322.7,17.0,17.0,18.0,59.3,40.7,63.6,36.4,55.6,44.4,80.7,19.3,11.3,25.2,60.0,3.5,47.8,6.4,24.6,18.2,2.9
30,אופקים,,,7,31,1955,6,מחוז הדרום,62,נפת באר שבע,622,אזור בשור,324,"מטרופולין באר שבע, טבעת פנימית, גזרה מערבית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.5,2.3,2.2,,1,יהודים,86.3,,33.2,61.0,5.8,34.0,60.8,5.2,32.3,61.2,6.5,734.7,29.0,29.0,28.0,57.3,42.7,57.8,42.2,56.7,43.3,61.5,38.5,7.4,13.2,77.5,1.8,25.5,5.3,29.0,40.1,0.2
31,אור יהודה,,,,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,6.6,33.9,17.0,17.0,5125.2,1,יהודים,98.2,1.4,30.4,60.6,9.0,31.2,61.0,7.8,29.5,60.2,10.3,740.7,31.0,29.0,32.0,57.0,43.0,57.2,42.8,56.8,43.2,68.7,31.3,26.7,29.7,36.3,7.3,32.0,23.5,11.6,31.9,0.9
32,אור יהודה,,,1,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.0,1.5,1.5,,1,יהודים,98.9,,42.5,53.4,4.1,42.5,54.0,3.5,42.6,52.8,4.6,954.8,24.0,24.0,25.0,62.6,37.4,62.7,37.3,62.5,37.5,81.0,19.0,26.3,22.3,47.8,3.6,45.1,23.9,7.2,23.0,0.8
33,אור יהודה,,,2,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.6,1.3,1.4,,1,יהודים,97.3,,25.7,57.8,16.5,25.9,61.2,12.9,25.5,54.7,19.8,802.3,35.0,32.0,37.0,55.8,44.2,58.5,41.5,53.4,46.6,57.0,43.0,24.5,38.9,33.3,3.2,21.8,25.7,8.2,44.1,0.3
34,אור יהודה,,,3,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.7,1.4,1.3,,1,יהודים,97.9,,26.0,63.8,10.2,26.7,64.1,9.1,25.2,63.5,11.2,622.6,32.0,31.0,32.0,57.2,42.8,56.3,43.7,58.2,41.8,57.8,42.2,14.4,33.8,44.9,6.8,22.5,23.4,8.1,45.7,0.4
35,אור יהודה,,,4,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.3,1.7,1.7,,1,יהודים,97.4,,26.6,62.8,10.5,27.3,64.5,8.2,26.0,61.1,12.9,677.6,32.0,31.0,33.0,56.4,43.6,56.8,43.2,55.9,44.1,56.6,43.4,13.4,42.5,39.7,4.5,21.0,19.3,6.3,53.2,0.3
36,אור יהודה,,,5+6,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,2.2,1.0,1.1,,1,יהודים,95.8,,26.0,62.7,11.3,27.5,62.8,9.8,24.6,62.7,12.7,673.4,29.0,28.0,30.0,47.3,52.7,49.2,50.8,45.7,54.3,56.7,43.3,20.7,21.0,37.9,20.4,23.7,26.0,15.7,34.4,0.2
37,אור יהודה,,,7,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.8,2.0,1.8,,1,יהודים,97.2,,25.4,65.4,9.2,25.7,66.6,7.6,25.0,64.1,10.9,676.8,28.0,26.0,32.0,47.3,52.7,43.8,56.2,51.3,48.7,55.4,44.6,15.3,19.8,52.9,12.0,23.2,19.6,14.6,41.8,0.8
38,אור יהודה,,,8,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,1.9,0.9,1.0,,1,יהודים,96.8,,38.7,51.8,9.4,41.0,52.2,6.8,36.5,51.5,12.0,1094.2,24.0,24.0,25.0,43.5,56.5,45.2,54.8,41.9,58.1,69.3,30.7,32.8,9.2,36.4,21.6,37.5,25.0,21.0,15.8,0.6
39,אור יהודה,,,9,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,6.6,3.4,3.2,,1,יהודים,99.6,,34.8,59.4,5.8,37.0,57.2,5.8,32.5,61.7,5.8,779.9,30.0,28.0,32.0,65.3,34.7,65.6,34.4,64.9,35.1,78.7,21.3,30.6,40.2,27.2,2.1,39.1,20.1,10.0,29.1,1.6
40,אור יהודה,,,10,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,3.2,1.6,1.7,,1,יהודים,99.0,,34.8,58.8,6.4,35.7,57.9,6.3,34.0,59.6,6.4,784.2,33.0,33.0,33.0,66.1,33.9,69.5,30.5,63.0,37.0,82.5,17.5,39.5,37.7,20.8,2.1,44.4,20.3,8.0,25.0,2.3
41,אור יהודה,,,11+12,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,4.0,2.0,2.0,,1,יהודים,98.8,,24.2,65.1,10.8,24.3,66.1,9.6,24.0,64.0,12.0,599.4,33.0,32.0,33.0,57.2,42.8,56.6,43.4,57.7,42.3,74.0,26.0,61.1,20.5,16.0,2.4,32.2,34.9,17.4,15.0,0.5
42,אור יהודה,,,13,2400,1950,5,מחוז תל אביב,51,נפת תל אביב,512,אזור רמת גן,122,"מטרופולין תל אביב, טבעת פנימית, גזרה מזרחית",160,"יישוב יהודי 49,999-20,000 תושבים",0,עירייה,,0.5,0.2,0.3,,1,יהודים,99.6,,19.8,64.3,15.8,19.7,67.8,12.5,20.0,61.4,18.7,603.8,37.0,37.0,37.0,52.0,48.0,55.2,44.8,49.2,50.8,76.3,23.7,87.5,6.8,4.9,0.7,34.1,28.6,33.2,3.1,1.0
43,אור עקיבא,,,,1020,1951,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,4.5,16.0,7.7,8.2,3506.9,1,יהודים,92.2,0.7,27.0,61.3,11.7,28.3,62.1,9.6,25.7,60.6,13.6,716.1,33.0,32.0,34.0,54.4,45.6,57.1,42.9,52.0,48.0,51.0,49.0,10.8,21.1,65.6,2.5,18.5,5.9,24.0,51.1,0.5
44,אור עקיבא,,,1,1020,1951,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,1.5,0.7,0.7,,1,יהודים,93.8,,40.4,56.2,3.4,42.1,55.1,2.8,38.7,57.3,4.0,847.6,27.0,25.0,27.0,66.6,33.4,69.2,30.8,64.3,35.7,77.4,22.6,8.8,23.5,65.3,2.4,37.3,6.2,24.6,30.4,1.5
45,אור עקיבא,,,2,1020,1951,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,3.7,1.8,2.0,,1,יהודים,92.4,,27.0,60.9,12.1,28.5,62.4,9.1,25.6,59.6,14.8,753.5,31.0,29.0,34.0,44.6,55.4,47.5,52.5,42.1,57.9,46.4,53.6,5.9,28.8,62.7,2.6,14.1,5.0,18.5,62.3,0.1
46,אור עקיבא,,,3,1020,1951,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,4.9,2.4,2.5,,1,יהודים,95.6,,27.1,60.2,12.7,28.1,61.5,10.4,26.2,58.9,15.0,743.3,32.0,32.0,33.0,53.6,46.4,55.7,44.3,51.6,48.4,61.8,38.2,28.3,30.9,38.2,2.6,24.2,8.6,39.5,27.3,0.5
47,אור עקיבא,,,4,1020,1951,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,2.4,1.2,1.2,,1,יהודים,92.2,,22.4,67.1,10.5,23.3,67.3,9.4,21.6,66.8,11.6,558.7,38.0,36.0,40.0,57.7,42.3,59.1,40.9,56.3,43.7,44.1,55.9,8.5,19.7,70.4,1.5,14.5,6.0,20.7,58.2,0.7
48,אור עקיבא,,,5,1020,1951,3,מחוז חיפה,32,נפת חדרה,324,אזור חדרה,,ללא שיוך למטרופולין,170,"יישוב יהודי 19,999-10,000 תושבים",0,עירייה,,3.5,1.7,1.8,,1,יהודים,86.6,,24.2,61.6,14.2,25.9,61.8,12.3,22.6,61.5,15.9,706.8,39.0,38.0,40.0,59.3,40.7,63.6,36.4,55.6,44.4,32.5,67.5,1.7,6.2,89.2,2.9,9.2,2.4,8.4,79.3,0.7
49,אורנית,,,,3760,1985,7,אזור יהודה והשומרון,,אין חלוקה לנפות,,אין חלוקה לאזורים טבעיים,,ללא שיוך למטרופולין,180,"יישוב יהודי 9,999-5,000 תושבים",99,מועצה מקומית,,5.7,2.9,2.8,,1,יהודים,99.2,,33.1,63.2,3.7,33.2,62.7,4.1,33.1,63.6,3.3,673.9,29.0,28.0,30.0,61.0,39.0,60.3,39.7,61.8,38.2,87.3,12.7,41.6,38.5,16.4,3.5,50.7,13.4,9.2,22.5,4.1
